name,hp,attack,defense,sp_attack,sp_defense,speed,generation,rarity,is_legendary,set_name,price_usd,type
Slowbro,64,37,43,35,35,57,2,Common,False,Expedition,0.26,Water
Golurk,76,46,51,50,97,64,5,Uncommon,False,Roaring Skies,0.18,Ghost
Fennekin V,66,61,46,37,44,50,1,Common,True,Gym Heroes,0.33,Fire
Anorith,57,36,71,55,51,65,1,Uncommon,False,Base Set,0.45,Bug
Vulpix,73,64,53,50,54,41,1,Uncommon,True,Fossil,1.06,Fire
Gengar,91,55,79,50,107,86,5,Rare Holo,False,Roaring Skies,7.99,Ghost
Drifblim,219,97,112,104,152,127,5,Secret Rare,True,Furious Fists,472.94,Ghost
Magneton,160,81,97,88,86,79,5,Rare Holo EX,True,Ancient Origins,48.85,Electric
Pupitar,92,86,98,86,58,82,2,Rare Holo,False,Expedition,18.98,Rock
Shiinotic,39,33,42,45,52,67,2,Common,False,Neo Destiny,0.23,Fairy
Sealeo,76,51,72,68,73,59,6,Rare,False,Burning Shadows,1.21,Ice
Spiritomb,71,70,84,56,86,54,7,Rare,False,Darkness Ablaze,1.41,Dark
Armaldo,30,36,49,42,56,39,8,Common,False,Paldean Fates,0.16,Bug
Aegislash,44,40,56,84,17,64,4,Common,False,Diamond & Pearl,0.47,Steel
Lumineon,31,37,38,66,44,45,2,Common,False,Neo Revelation,0.09,Water
Zebstrika,97,62,88,47,88,73,5,Rare Holo,False,Furious Fists,10.59,Electric
Pidgeot,31,54,44,42,45,33,3,Common,False,EX FireRed & LeafGreen,0.2,Normal
Riolu,70,41,82,74,37,60,1,Uncommon,False,Gym Challenge,0.26,Fighting
Beedrill,88,33,63,69,56,51,4,Uncommon,False,Diamond & Pearl,0.4,Bug
Torracat,59,80,34,45,52,46,5,Uncommon,False,Flashfire,0.67,Fire
Zweilous,31,44,63,53,33,54,8,Common,False,151,0.46,Dark
Muk,93,58,74,69,75,80,8,Rare Holo,False,Obsidian Flames,11.95,Poison
Rhydon,60,82,91,110,46,58,1,Rare Holo,False,Neo Genesis,11.74,Rock
Golem EX,67,61,55,78,29,47,3,Common,True,Dragon,0.66,Rock
Spritzee,48,48,27,32,47,53,6,Common,False,Forbidden Light,0.2,Fairy
Goomy,41,41,76,49,61,52,5,Common,False,Flashfire,0.21,Dragon
Jellicent,78,24,49,33,67,44,4,Common,False,Legends Awakened,0.34,Ghost
Jynx,150,102,90,104,102,104,7,Rare Holo EX,True,Sword & Shield,79.86,Ice
Tentacruel,73,49,71,75,43,73,2,Uncommon,False,Skyridge,0.5,Water
Tyranitar,85,77,82,71,66,71,6,Rare Holo,False,Sun & Moon,4.29,Dark
Sawk,60,47,72,47,34,37,2,Common,False,Expedition,0.49,Fighting
Wigglytuff,71,49,53,66,81,93,3,Rare,False,EX FireRed & LeafGreen,2.48,Fairy
Caterpie,64,48,64,69,44,52,5,Uncommon,False,Ancient Origins,1.21,Bug
Shroomish,70,58,57,85,71,51,2,Rare,False,Neo Revelation,2.43,Grass
Lotad,68,34,40,46,58,79,7,Uncommon,False,Chilling Reign,0.6,Water
Misdreavus,36,32,30,37,66,58,4,Common,False,Secret Wonders,0.66,Ghost
Porygon,37,32,45,25,60,42,7,Common,False,Chilling Reign,0.22,Normal
Exeggutor,70,33,35,47,72,78,5,Uncommon,False,Flashfire,0.38,Psychic
Boltund,104,47,76,60,59,56,4,Rare,False,Diamond & Pearl,2.65,Electric
Exeggutor,92,36,48,68,118,113,2,Rare Holo,False,Legendary Collection,8.41,Psychic
Budew,62,55,48,61,63,70,1,Uncommon,False,Base Set,0.44,Grass
Treecko,93,50,45,74,76,84,7,Rare,False,Rebel Clash,0.63,Grass
Larvitar,47,52,68,64,32,38,2,Common,False,Skyridge,0.16,Rock
Rhydon,69,72,68,85,49,74,2,Uncommon,False,Legendary Collection,1.07,Rock
Oddish,209,103,96,115,137,116,1,Rare Ultra,True,Jungle,148.38,Grass
Sableye,107,40,84,55,104,80,3,Rare Holo,False,Sandstorm,6.86,Ghost
Sylveon,95,53,29,68,67,100,7,Rare,False,Chilling Reign,1.4,Fairy
Mareep,75,22,58,44,53,36,5,Uncommon,False,Primal Clash,0.58,Electric
Bayleef,112,65,89,71,85,70,1,Rare Holo,False,Jungle,5.17,Grass
Hitmonlee,58,59,64,56,44,52,3,Common,False,EX FireRed & LeafGreen,0.11,Fighting
Tentacruel,79,41,62,78,66,84,1,Rare,False,Neo Genesis,2.61,Water
Electabuzz,96,80,69,57,85,76,5,Rare Holo,False,XY Base,9.6,Electric
Floatzel,68,67,50,64,58,65,3,Uncommon,False,EX FireRed & LeafGreen,0.29,Water
Krookodile,71,73,70,63,61,37,5,Uncommon,False,Furious Fists,0.64,Dark
Shiinotic,47,60,54,53,70,51,3,Uncommon,False,EX FireRed & LeafGreen,0.37,Fairy
Palkia,42,41,14,55,62,61,4,Common,False,Diamond & Pearl,0.28,Water
Raboot,80,88,70,44,50,48,5,Rare,False,Phantom Forces,2.27,Fire
Dragonite,30,50,30,43,52,59,8,Common,False,151,0.29,Dragon
Camerupt,59,68,76,66,53,39,7,Uncommon,False,Rebel Clash,0.86,Ground
Incineroar,66,74,56,26,70,51,4,Uncommon,False,Legends Awakened,0.97,Fire
Kadabra,46,39,34,46,56,48,2,Common,False,Neo Destiny,0.22,Psychic
Venusaur,42,29,51,52,47,62,6,Common,True,Crimson Invasion,0.57,Grass
Poliwhirl,77,49,54,78,49,81,7,Rare,False,Darkness Ablaze,1.96,Water
Zeraora,90,46,91,37,77,71,5,Rare,False,Roaring Skies,3.04,Electric
Machoke,111,72,92,80,50,59,5,Rare,False,XY Base,2.65,Fighting
Rotom,53,35,46,40,53,43,6,Common,False,Guardians Rising,0.13,Electric
Emolga,45,48,43,27,46,36,7,Common,False,Chilling Reign,0.11,Electric
Floatzel,47,37,36,67,42,52,8,Common,False,Paradox Rift,0.37,Water
Dodrio,55,34,48,21,43,32,1,Common,False,Base Set,0.2,Flying
Jigglypuff,119,68,70,67,66,69,5,Rare Holo,False,Flashfire,7.05,Normal
Lapras,107,61,59,102,65,69,4,Rare,False,Legends Awakened,0.82,Water
Mesprit,98,46,51,75,95,80,5,Rare,False,Flashfire,1.15,Psychic
Gabite,38,33,64,48,35,42,5,Common,False,Furious Fists,0.13,Ground
Togetic,112,73,42,61,73,85,7,Rare,False,Vivid Voltage,5.7,Fairy
Lunatone,30,50,30,39,78,59,8,Common,False,Obsidian Flames,0.16,Psychic
Whiscash,72,79,94,84,47,63,6,Rare Holo,False,Sun & Moon,3.56,Ground
Hawlucha,104,60,67,52,33,60,5,Uncommon,False,Furious Fists,0.67,Fighting
Grotle,69,40,36,66,58,70,3,Uncommon,False,EX FireRed & LeafGreen,0.53,Grass
Geodude,73,54,86,57,52,53,2,Uncommon,False,Neo Revelation,0.94,Ground
Frillish,89,51,49,72,77,79,1,Rare,False,Gym Heroes,1.47,Ghost
Crabominable,92,58,89,59,25,56,8,Uncommon,False,Obsidian Flames,0.81,Fighting
Bonsly,80,82,58,66,42,59,2,Uncommon,False,Expedition,0.87,Rock
Abra,59,36,41,42,77,63,4,Uncommon,False,Great Encounters,1.09,Psychic
Slugma,54,74,52,44,62,42,3,Uncommon,False,EX Emerald,0.84,Fire
Floatzel V,71,71,59,110,52,77,5,Rare,True,Ancient Origins,7.43,Water
Goodra,190,106,116,102,108,95,7,Rare Holo EX,True,Sword & Shield,72.98,Dragon
Tentacruel,30,34,52,56,40,61,1,Common,False,Base Set 2,0.21,Water
Sudowoodo,104,62,89,74,56,78,2,Rare,False,Legendary Collection,1.71,Rock
Kirlia,41,19,25,42,58,47,3,Common,False,Sandstorm,0.26,Psychic
Elekid EX,96,60,55,63,68,45,4,Rare,True,Secret Wonders,8.63,Electric
Electrike GX,72,50,60,46,41,41,1,Uncommon,True,Gym Heroes,0.39,Electric
Abomasnow,75,50,58,46,70,53,3,Uncommon,False,EX Emerald,0.19,Grass
Fearow,66,53,39,41,59,66,8,Common,False,Paldea Evolved,0.14,Normal
Golduck,64,63,69,46,43,53,2,Uncommon,False,Skyridge,0.46,Water
Houndour EX,97,68,77,49,77,63,3,Rare,True,EX FireRed & LeafGreen,4.56,Dark
Mew EX,58,29,22,48,51,69,5,Common,True,Phantom Forces,0.63,Psychic
Pawniard,47,43,57,51,41,44,6,Common,False,Guardians Rising,0.09,Dark
Kadabra,91,39,38,50,83,87,3,Rare,False,EX FireRed & LeafGreen,1.93,Psychic
Medicham,66,69,96,77,46,61,2,Rare,False,Legendary Collection,2.71,Fighting
Dedenne,77,57,46,53,64,74,5,Uncommon,False,Phantom Forces,0.64,Fairy
Rattata,95,71,72,66,69,70,2,Rare,False,Neo Revelation,1.3,Normal
Fennekin,83,87,60,44,72,60,2,Rare,False,Neo Destiny,1.59,Fire
Linoone,65,46,67,40,54,27,7,Common,False,Sword & Shield,0.34,Normal
Fearow,58,52,65,56,46,45,8,Uncommon,False,Paradox Rift,0.32,Normal
Mareep,45,15,50,48,44,40,3,Common,False,Ruby & Sapphire,0.33,Electric
Crawdaunt,77,57,60,62,58,54,5,Uncommon,False,Furious Fists,0.82,Dark
Electrode,106,84,82,54,88,83,5,Rare Holo,False,Ancient Origins,4.46,Electric
Dustox,83,31,58,53,36,51,1,Rare,False,Base Set,3.58,Bug
Exeggcute,72,73,71,77,68,54,3,Rare,False,Dragon,1.27,Grass
Roselia,68,60,64,42,54,67,4,Uncommon,False,Legends Awakened,0.42,Poison
Feraligatr,79,48,41,39,37,57,1,Common,False,Neo Discovery,0.57,Water
Swirlix,104,82,49,83,84,69,2,Rare,False,Neo Revelation,1.95,Fairy
Hypno,40,34,34,37,74,55,1,Common,False,Jungle,0.16,Psychic
Xerneas,51,45,45,64,63,90,6,Uncommon,False,Ultra Prism,0.8,Fairy
Gabite,61,37,65,52,28,36,6,Common,False,Ultra Prism,0.21,Ground
Raboot,59,67,53,19,60,42,1,Uncommon,False,Fossil,0.27,Fire
Spritzee,54,27,27,28,54,76,2,Common,False,Neo Revelation,0.23,Fairy
Marill,32,46,37,37,60,55,5,Common,False,Flashfire,0.49,Fairy
Whismur GX,37,60,47,61,63,45,2,Uncommon,True,Neo Revelation,0.69,Normal
Mesprit,40,35,40,45,76,50,1,Common,False,Base Set,0.5,Psychic
Glalie,175,99,111,117,106,82,3,Rare Holo EX,True,Sandstorm,59.43,Ice
Hydreigon,72,40,65,35,44,42,5,Common,False,Primal Clash,0.1,Dark
Slakoth,90,75,76,64,60,61,7,Rare Holo,False,Rebel Clash,10.55,Normal
Kyogre,68,49,56,70,63,63,2,Uncommon,False,Neo Revelation,0.67,Water
Camerupt,74,59,99,77,37,60,4,Rare,False,Secret Wonders,3.08,Ground
Ariados,89,63,81,76,91,57,2,Rare Holo,False,Aquapolis,10.79,Poison
Mandibuzz,161,103,135,105,115,109,2,Rare Ultra,True,Expedition,122.89,Dark
Gothitelle,95,41,68,61,86,95,7,Rare,False,Darkness Ablaze,2.41,Psychic
Mamoswine,73,53,54,66,63,60,6,Uncommon,False,Forbidden Light,1.02,Ice
Feebas GX,68,38,46,65,48,55,6,Common,True,Sun & Moon,0.31,Water
Gardevoir,117,60,69,59,96,96,1,Rare Holo,False,Base Set,7.37,Psychic
Mimikyu,53,40,35,53,62,57,2,Common,False,Neo Revelation,0.11,Fairy
Elekid,105,50,75,66,73,75,7,Rare,False,Chilling Reign,1.45,Electric
Jangmo-o,57,49,75,56,89,73,1,Uncommon,False,Gym Heroes,0.44,Dragon
Golbat,39,47,32,57,67,49,4,Common,False,Secret Wonders,0.35,Flying
Spearow,56,62,62,48,40,40,1,Common,False,Gym Challenge,0.07,Normal
Thundurus,58,37,48,21,51,50,1,Common,False,Gym Heroes,0.14,Electric
Charizard GX,30,65,36,49,35,41,4,Common,True,Legends Awakened,0.38,Fire
Rattata,104,75,65,71,63,62,2,Rare,False,Legendary Collection,2.42,Normal
Jolteon,67,62,82,38,60,69,8,Rare,False,Paldea Evolved,2.75,Electric
Skuntank,38,46,48,56,39,59,1,Uncommon,False,Jungle,0.5,Poison
Spearow GX,49,57,35,55,48,54,3,Common,True,Sandstorm,0.59,Normal
Klang,56,48,39,71,19,82,5,Common,False,Furious Fists,0.21,Steel
Blissey,88,54,57,50,48,59,2,Uncommon,False,Legendary Collection,0.22,Normal
Dialga,99,78,80,75,103,65,9,Rare,False,Shrouded Fable,1.27,Dragon
Mareep,38,28,48,27,52,44,5,Common,False,Primal Clash,0.19,Electric
Growlithe,65,51,27,19,64,55,8,Common,False,Scarlet & Violet,0.24,Fire
Cinderace,38,67,44,52,70,39,6,Uncommon,False,Forbidden Light,0.8,Fire
Dragapult,96,86,80,68,87,55,7,Rare,False,Chilling Reign,2.3,Dragon
Medicham,86,80,114,71,57,49,4,Rare,False,Legends Awakened,3.25,Fighting
Nuzleaf,35,50,49,38,77,36,4,Common,False,Majestic Dawn,0.23,Grass
Kangaskhan,210,108,99,121,125,114,6,Secret Rare,True,Burning Shadows,644.93,Normal
Mienshao,34,45,68,47,37,49,1,Common,False,Neo Genesis,0.12,Fighting
Psyduck,95,71,60,87,54,68,2,Uncommon,False,Neo Revelation,0.44,Water
Hariyama,77,64,74,70,39,32,6,Uncommon,False,Ultra Prism,0.72,Fighting
Timburr,177,83,136,113,70,72,7,Rare Holo EX,True,Vivid Voltage,99.49,Fighting
Jolteon GX,52,46,60,42,31,28,8,Common,True,Scarlet & Violet,0.8,Electric
Entei,118,119,67,56,66,70,2,Rare Holo,False,Legendary Collection,5.67,Fire
Venomoth,83,33,74,42,61,49,8,Uncommon,True,Scarlet & Violet,0.9,Bug
Chikorita,30,29,33,24,56,51,8,Common,False,Scarlet & Violet,0.36,Grass
Roselia,50,33,52,59,81,49,2,Uncommon,False,Expedition,0.87,Grass
Deino,51,70,65,44,49,41,3,Uncommon,False,EX FireRed & LeafGreen,0.62,Dark
Pidgey,100,61,70,30,43,40,8,Uncommon,False,Paldean Fates,0.64,Flying
Dusknoir,125,57,55,54,82,75,5,Rare,False,XY Base,0.91,Ghost
Delphox,94,69,43,30,47,58,8,Uncommon,False,Paradox Rift,0.98,Fire
Lapras,104,66,75,99,57,78,5,Rare Holo,False,Flashfire,16.02,Water
Togepi,61,47,13,52,57,64,6,Common,False,Ultra Prism,0.2,Fairy
Darkrai,164,85,96,84,97,90,5,Rare Holo EX,True,Primal Clash,66.9,Dark
Typhlosion,75,51,25,35,54,45,5,Common,False,Flashfire,0.21,Fire
Illumise,90,33,64,40,52,43,8,Uncommon,False,Scarlet & Violet,1.04,Bug
Cacturne,66,24,37,40,41,66,4,Common,False,Great Encounters,0.25,Grass
Magikarp,80,57,68,75,69,67,7,Rare,False,Vivid Voltage,1.78,Water
Zorua GX,72,44,86,56,56,63,6,Uncommon,True,Burning Shadows,1.01,Dark
Pancham,89,71,97,102,74,74,4,Rare Holo,False,Secret Wonders,11.4,Fighting
Magneton GX,86,69,56,85,54,100,1,Rare,True,Gym Heroes,2.5,Steel
Donphan,54,46,71,68,58,62,7,Uncommon,False,Vivid Voltage,0.96,Ground
Pinsir,157,61,106,103,98,108,5,Rare Holo GX,True,Flashfire,46.52,Bug
Lickitung,109,53,72,60,70,56,7,Rare,False,Darkness Ablaze,0.91,Normal
Forretress,89,38,59,67,51,59,5,Uncommon,False,Furious Fists,0.66,Bug
Drifblim,63,50,54,33,67,80,6,Uncommon,False,Forbidden Light,0.85,Ghost
Krokorok,175,97,113,89,119,108,3,Rare Holo GX,True,Ruby & Sapphire,47.71,Dark
Sandshrew,50,49,59,61,60,45,2,Uncommon,False,Neo Destiny,0.66,Ground
Emboar,97,85,67,63,66,60,4,Rare,False,Diamond & Pearl,6.88,Fire
Xatu V,123,44,19,64,66,67,1,Uncommon,True,Base Set,1.49,Psychic
Litwick,82,16,51,50,60,63,1,Uncommon,False,Neo Genesis,0.44,Ghost
Walrein GX,98,56,85,85,50,78,5,Rare Holo,True,Primal Clash,17.73,Water
Tangela,60,40,62,50,53,46,3,Uncommon,False,Sandstorm,0.53,Grass
Togedemaru V,99,78,62,118,77,76,4,Rare Holo,True,Legends Awakened,9.81,Steel
Cacturne,80,40,54,40,55,38,2,Uncommon,False,Expedition,0.82,Dark
Rhyhorn,45,40,28,56,41,65,1,Common,False,Fossil,0.17,Rock
Sylveon,36,39,33,45,47,71,7,Common,False,Vivid Voltage,0.24,Fairy
Ivysaur,102,37,39,61,71,78,2,Rare,False,Legendary Collection,2.93,Grass
Haunter EX,49,30,50,43,68,45,6,Common,True,Ultra Prism,0.74,Ghost
Pachirisu,109,39,59,69,64,52,8,Rare,False,Paradox Rift,3.13,Electric
Bronzong,60,46,40,51,44,49,2,Common,False,Expedition,0.38,Steel
Gigalith,63,54,72,69,39,58,3,Uncommon,False,Sandstorm,0.51,Rock
Paras GX,78,47,66,54,53,61,2,Uncommon,True,Neo Destiny,0.53,Bug
Nuzleaf,49,58,69,32,72,57,6,Uncommon,False,Sun & Moon,0.33,Dark
Clefable GX,87,70,49,68,79,83,3,Rare,True,EX FireRed & LeafGreen,0.79,Fairy
Natu,212,80,78,111,172,146,7,Rare Ultra,True,Sword & Shield,214.09,Psychic
Clobbopus,55,50,47,57,45,49,2,Common,False,Neo Revelation,0.21,Fighting
Exeggcute,69,42,57,61,53,39,4,Uncommon,False,Great Encounters,1.81,Grass
Swampert,63,40,32,46,37,65,7,Common,False,Rebel Clash,0.35,Water
Xatu,63,36,43,69,98,92,1,Uncommon,False,Jungle,1.08,Psychic
Chimchar,107,69,62,64,68,71,3,Rare,False,Dragon,4.75,Fire
Mightyena,37,43,47,46,43,42,8,Common,False,151,0.33,Dark
Incineroar,98,81,68,51,66,62,8,Rare Holo,False,Obsidian Flames,3.05,Fire
Mewtwo,109,50,54,59,59,75,3,Uncommon,False,Team Magma vs Team Aqua,0.65,Psychic
Sunkern,31,47,38,52,60,33,1,Common,False,Base Set 2,0.24,Grass
Uxie,152,56,66,84,112,133,1,Rare Holo EX,True,Gym Heroes,54.76,Psychic
Mr. Mime,84,47,30,53,82,60,2,Uncommon,False,Legendary Collection,0.62,Psychic
Meganium,47,36,46,52,55,37,2,Common,False,Expedition,0.36,Grass
Combusken,98,83,39,41,44,71,2,Rare,False,Neo Revelation,2.21,Fire
Bastiodon,51,57,54,81,55,69,2,Common,False,Skyridge,0.43,Steel
Cresselia,109,59,61,70,95,82,8,Rare Holo,False,Obsidian Flames,3.65,Psychic
Bonsly,79,64,51,81,39,56,7,Uncommon,False,Rebel Clash,0.27,Rock
Golett,91,63,65,60,82,75,1,Rare Holo,False,Gym Heroes,12.35,Ghost
Pumpkaboo V,56,29,56,55,58,33,6,Common,True,Guardians Rising,0.65,Ghost
Lumineon EX,31,50,50,67,39,58,5,Common,True,XY Base,0.61,Water
Lombre,44,26,59,51,44,52,5,Common,False,Furious Fists,0.61,Water
Wingull,86,50,36,31,41,62,7,Common,False,Rebel Clash,0.38,Water
Bayleef,75,40,50,63,51,56,2,Uncommon,False,Skyridge,0.38,Grass
Pidgeot,51,55,71,39,61,50,3,Common,False,Ruby & Sapphire,0.35,Normal
Slowbro,56,32,47,56,24,81,2,Common,False,Neo Destiny,0.43,Water
Sealeo,84,50,72,83,53,79,5,Rare,False,Furious Fists,0.86,Water
Shellos,68,55,54,71,56,52,8,Uncommon,False,Scarlet & Violet,0.43,Water
Simisage,67,31,63,66,92,54,2,Uncommon,False,Aquapolis,0.45,Grass
Spiritomb GX,77,64,81,54,76,45,4,Rare,True,Majestic Dawn,5.28,Dark
Muk EX,123,63,60,77,92,79,5,Rare Holo,True,Furious Fists,9.69,Poison
Gothita,75,39,45,55,79,93,6,Uncommon,False,Sun & Moon,0.46,Psychic
Spoink,69,25,34,45,79,71,6,Uncommon,False,Burning Shadows,0.62,Psychic
Vikavolt,46,45,71,54,37,50,4,Uncommon,True,Legends Awakened,0.77,Electric
Machamp,87,79,82,75,50,68,3,Rare,False,Ruby & Sapphire,2.94,Fighting
Honchkrow,77,62,68,85,62,64,4,Rare,False,Mysterious Treasures,1.36,Dark
Gardevoir,62,20,34,63,78,82,3,Uncommon,False,Team Magma vs Team Aqua,0.6,Psychic
Kricketune,91,47,65,73,37,58,4,Rare,False,Secret Wonders,1.4,Bug
Meganium,49,37,43,57,62,55,3,Uncommon,False,Team Magma vs Team Aqua,1.03,Grass
Shinx,39,53,74,37,54,56,5,Uncommon,False,Roaring Skies,0.47,Electric
Bonsly,126,78,80,108,69,79,2,Rare Holo,False,Skyridge,7.3,Rock
Crobat,50,22,42,14,34,50,4,Common,False,Legends Awakened,0.61,Flying
Carbink EX,40,30,29,40,39,71,1,Common,True,Neo Genesis,0.29,Fairy
Spiritomb,84,66,62,58,78,91,4,Rare,False,Diamond & Pearl,2.77,Ghost
Metapod,101,56,78,79,55,57,8,Rare,False,Paldea Evolved,0.55,Bug
Slurpuff,36,44,55,39,67,70,6,Uncommon,False,Burning Shadows,0.58,Fairy
Budew,223,102,125,113,125,96,2,Secret Rare,True,Skyridge,1918.01,Grass
Silcoon,67,46,59,51,45,47,4,Uncommon,False,Majestic Dawn,0.55,Bug
Vulpix,30,78,36,45,38,40,2,Common,True,Neo Destiny,1.17,Fire
Spoink,122,54,51,59,113,97,5,Rare Holo,False,Flashfire,6.97,Psychic
Primeape,59,61,58,53,33,34,8,Common,False,Paldean Fates,0.51,Fighting
Wailord,74,80,85,91,72,98,7,Rare Holo,False,Battle Styles,5.7,Water
Croagunk,63,61,74,65,40,43,4,Common,False,Mysterious Treasures,0.16,Fighting
Psyduck,57,46,43,61,58,81,1,Uncommon,False,Neo Discovery,0.41,Water
Blastoise,71,43,40,53,43,61,4,Common,False,Great Encounters,0.18,Water
Gabite,96,62,79,62,69,57,2,Uncommon,False,Expedition,0.51,Dragon
Slurpuff,102,90,48,69,89,104,8,Rare Holo,False,Paldea Evolved,16.82,Fairy
Combusken,209,141,110,90,106,111,7,Rare Ultra,True,Battle Styles,84.39,Fire
Xerneas,35,56,27,34,45,51,2,Common,False,Skyridge,0.11,Fairy
Grovyle,66,50,65,50,52,56,4,Common,False,Diamond & Pearl,0.24,Grass
Electabuzz EX,62,64,66,30,55,39,5,Uncommon,True,Furious Fists,0.31,Electric
Machop,88,61,74,72,45,66,3,Uncommon,False,Dragon,0.71,Fighting
Primeape,43,49,75,43,45,38,8,Common,False,Obsidian Flames,0.11,Fighting
Blissey,50,40,52,37,56,64,6,Uncommon,False,Burning Shadows,0.38,Normal
Tentacool,36,46,49,42,49,53,1,Common,False,Fossil,0.35,Water
Vikavolt,97,70,82,53,58,58,1,Rare,True,Jungle,2.85,Electric
Exeggutor,67,34,28,51,65,49,7,Common,False,Battle Styles,0.5,Psychic
Clefable GX,133,71,44,66,73,90,5,Rare Holo,True,Roaring Skies,11.11,Fairy
Tangela,46,33,36,45,59,45,2,Common,False,Expedition,0.3,Grass
Golem,50,54,73,72,34,59,3,Uncommon,False,Sandstorm,0.42,Rock
Vaporeon,65,45,48,68,60,84,3,Uncommon,True,EX FireRed & LeafGreen,1.2,Water
Darumaka,73,65,56,28,43,51,1,Uncommon,False,Base Set 2,0.31,Fire
Ursaring,83,61,73,50,46,33,5,Uncommon,False,Phantom Forces,0.29,Normal
Cacturne,119,47,76,81,96,71,3,Rare Holo,False,Sandstorm,5.55,Grass
Quilava GX,53,61,56,26,45,42,6,Common,True,Guardians Rising,0.47,Fire
Lanturn,56,41,60,42,54,53,1,Common,False,Base Set,0.34,Electric
Marshtomp,70,66,39,58,51,76,2,Uncommon,False,Legendary Collection,0.53,Water
Kricketune,100,48,58,56,50,65,1,Rare,False,Gym Heroes,3.71,Bug
Shiftry,81,51,37,72,82,57,1,Rare,False,Gym Challenge,0.95,Grass
Lairon,48,46,44,66,22,44,5,Common,False,Ancient Origins,0.31,Rock
Grovyle GX,68,42,37,54,73,50,8,Uncommon,True,151,1.02,Grass
Medicham,75,76,91,86,48,73,4,Rare Holo,False,Great Encounters,9.59,Fighting
Nuzleaf,34,25,59,49,44,29,6,Common,False,Sun & Moon,0.17,Grass
Torchic,49,73,34,32,42,42,1,Uncommon,False,Gym Heroes,0.43,Fire
Bewear,31,41,57,57,35,28,3,Common,False,EX Emerald,0.09,Fighting
Polteageist,183,67,92,83,135,115,4,Rare Holo GX,True,Diamond & Pearl,25.46,Ghost
Noctowl,150,83,89,76,93,82,1,Rare Holo EX,True,Neo Genesis,73.6,Normal
Noctowl,54,58,68,46,40,37,5,Uncommon,False,Ancient Origins,0.13,Flying
Gothitelle GX,78,52,46,44,71,69,6,Uncommon,True,Sun & Moon,0.91,Psychic
Ponyta,30,63,37,23,32,27,3,Common,False,Team Magma vs Team Aqua,0.39,Fire
Palkia GX,84,66,63,75,68,59,4,Rare,True,Secret Wonders,3.43,Water
Cyndaquil,71,91,47,36,68,44,3,Rare,False,EX Emerald,1.55,Fire
Delibird,65,43,70,72,66,54,7,Uncommon,False,Battle Styles,0.33,Ice
Solrock,94,56,39,63,82,71,6,Uncommon,False,Burning Shadows,0.55,Psychic
Exeggutor EX,80,45,49,59,74,94,1,Rare,True,Gym Challenge,5.38,Psychic
Metang,94,77,43,78,54,65,1,Uncommon,False,Gym Challenge,0.76,Steel
Marowak EX,89,63,74,62,46,61,5,Uncommon,True,Furious Fists,2.11,Ground
Emolga,85,51,70,48,53,65,5,Rare,False,Flashfire,1.38,Electric
Yamper,114,66,86,49,71,70,3,Rare Holo,False,Sandstorm,8.18,Electric
Wigglytuff,111,67,59,53,69,68,9,Rare,False,Shrouded Fable,1.86,Normal
Hitmonchan GX,55,48,78,43,32,47,3,Common,True,EX Emerald,0.71,Fighting
Mismagius,76,40,39,46,62,58,2,Common,False,Expedition,0.19,Ghost
Porygon,50,66,58,47,65,60,3,Uncommon,False,EX Emerald,0.4,Normal
Feebas,81,60,60,78,58,55,2,Uncommon,False,Aquapolis,0.22,Water
Medicham,82,38,51,72,85,82,3,Uncommon,False,Dragon,1.13,Psychic
Charizard,67,60,59,40,64,40,2,Uncommon,False,Neo Revelation,0.26,Fire
Scorbunny EX,89,89,61,57,57,72,9,Rare,True,Shrouded Fable,7.63,Fire
Pawniard,30,58,64,65,52,37,4,Common,False,Mysterious Treasures,0.1,Dark
Krookodile,88,68,90,79,78,49,9,Rare,False,Shrouded Fable,1.1,Dark
Zeraora,53,63,67,19,56,56,8,Uncommon,False,Scarlet & Violet,0.47,Electric
Golurk,68,45,69,54,106,99,1,Rare Holo,False,Base Set 2,7.04,Ghost
Talonflame,110,81,44,37,65,63,3,Rare,False,Ruby & Sapphire,0.77,Fire
Tentacruel,69,46,50,64,15,47,3,Common,False,Dragon,0.32,Water
Sneasel,73,56,77,30,65,62,4,Uncommon,False,Mysterious Treasures,0.36,Dark
Krookodile,89,80,74,68,79,94,6,Rare Holo,False,Forbidden Light,5.06,Dark
Electabuzz,52,42,59,27,51,51,3,Common,False,Team Magma vs Team Aqua,0.35,Electric
Drowzee,81,40,30,57,76,107,2,Uncommon,False,Legendary Collection,0.66,Psychic
Chespin,85,67,70,86,89,74,8,Rare Holo,False,Obsidian Flames,4.75,Grass
Lotad,78,46,47,57,40,60,1,Uncommon,False,Base Set,0.5,Water
Beedrill,62,31,38,53,22,48,3,Common,False,EX Emerald,0.11,Bug
Nuzleaf,34,36,33,41,61,30,7,Common,False,Darkness Ablaze,0.15,Grass
Hoothoot,58,43,42,33,55,66,5,Uncommon,False,Phantom Forces,0.67,Normal
Vullaby,71,51,46,59,33,23,3,Common,True,EX Emerald,0.38,Dark
Rotom,87,54,67,28,54,38,5,Uncommon,False,Flashfire,0.23,Electric
Roselia,75,55,70,69,70,52,3,Uncommon,False,EX FireRed & LeafGreen,0.24,Grass
Tyranitar,44,55,46,45,30,40,3,Common,False,EX FireRed & LeafGreen,0.16,Dark
